Période_détail,Période,ABJC_CA_PNB,ABJC_Total Bilan,ABJC_RE_RBE,ABJC_Résultat Net,ABJC_Capitaux propres,BICB_CA_PNB,BICB_Total Bilan,BICB_RE_RBE,BICB_Résultat Net,BICB_Capitaux propres,BICC_CA_PNB,BICC_Total Bilan,BICC_RE_RBE,BICC_Résultat Net,BICC_Capitaux propres,BNBC_CA_PNB,BNBC_Total Bilan,BNBC_RE_RBE,BNBC_Résultat Net,BNBC_Capitaux propres,BOAB_CA_PNB,BOAB_Total Bilan,BOAB_RE_RBE,BOAB_Résultat Net,BOAB_Capitaux propres,BOABF_CA_PNB,BOABF_Total Bilan,BOABF_RE_RBE,BOABF_Résultat Net,BOABF_Capitaux propres,BOAC_CA_PNB,BOAC_Total Bilan,BOAC_RE_RBE,BOAC_Résultat Net,BOAC_Capitaux propres,BOAM_CA_PNB,BOAM_Total Bilan,BOAM_RE_RBE,BOAM_Résultat Net,BOAM_Capitaux propres,BOAN_CA_PNB,BOAN_Total Bilan,BOAN_RE_RBE,BOAN_Résultat Net,BOAN_Capitaux propres,BOAS_CA_PNB,BOAS_Total Bilan,BOAS_RE_RBE,BOAS_Résultat Net,BOAS_Capitaux propres,CABC_CA_PNB,CABC_Total Bilan,CABC_RE_RBE,CABC_Résultat Net,CABC_Capitaux propres,CBIBF_CA_PNB,CBIBF_Total Bilan,CBIBF_RE_RBE,CBIBF_Résultat Net,CBIBF_Capitaux propres,CFAC_CA_PNB,CFAC_Total Bilan,CFAC_RE_RBE,CFAC_Résultat Net,CFAC_Capitaux propres,CIEC_CA_PNB,CIEC_Total Bilan,CIEC_RE_RBE,CIEC_Résultat Net,CIEC_Capitaux propres,ECOC_CA_PNB,ECOC_Total Bilan,ECOC_RE_RBE,ECOC_Résultat Net,ECOC_Capitaux propres,ETIT_CA_PNB,ETIT_Total Bilan,ETIT_RE_RBE,ETIT_Résultat Net,ETIT_Capitaux propres,FTSC_CA_PNB,FTSC_Total Bilan,FTSC_RE_RBE,FTSC_Résultat Net,FTSC_Capitaux propres,LNBB_CA_PNB,LNBB_Total Bilan,LNBB_RE_RBE,LNBB_Résultat Net,LNBB_Capitaux propres,NEIC_CA_PNB,NEIC_Total Bilan,NEIC_RE_RBE,NEIC_Résultat Net,NEIC_Capitaux propres,NSBC_CA_PNB,NSBC_Total Bilan,NSBC_RE_RBE,NSBC_Résultat Net,NSBC_Capitaux propres,NTLC_CA_PNB,NTLC_Total Bilan,NTLC_RE_RBE,NTLC_Résultat Net,NTLC_Capitaux propres,ONTBF_CA_PNB,ONTBF_Total Bilan,ONTBF_RE_RBE,ONTBF_Résultat Net,ONTBF_Capitaux propres,ORAC_CA_PNB,ORAC_Total Bilan,ORAC_RE_RBE,ORAC_Résultat Net,ORAC_Capitaux propres,ORGT_CA_PNB,ORGT_Total Bilan,ORGT_RE_RBE,ORGT_Résultat Net,ORGT_Capitaux propres,PALC_CA_PNB,PALC_Total Bilan,PALC_RE_RBE,PALC_Résultat Net,PALC_Capitaux propres,PRSC_CA_PNB,PRSC_Total Bilan,PRSC_RE_RBE,PRSC_Résultat Net,PRSC_Capitaux propres,SAFC_CA_PNB,SAFC_Total Bilan,SAFC_RE_RBE,SAFC_Résultat Net,SAFC_Capitaux propres,SCRC_CA_PNB,SCRC_Total Bilan,SCRC_RE_RBE,SCRC_Résultat Net,SCRC_Capitaux propres,SDCC_CA_PNB,SDCC_Total Bilan,SDCC_RE_RBE,SDCC_Résultat Net,SDCC_Capitaux propres,SDSC_CA_PNB,SDSC_Total Bilan,SDSC_RE_RBE,SDSC_Résultat Net,SDSC_Capitaux propres,SEMC_CA_PNB,SEMC_Total Bilan,SEMC_RE_RBE,SEMC_Résultat Net,SEMC_Capitaux propres,SGBC_CA_PNB,SGBC_Total Bilan,SGBC_RE_RBE,SGBC_Résultat Net,SGBC_Capitaux propres,SHEC_CA_PNB,SHEC_Total Bilan,SHEC_RE_RBE,SHEC_Résultat Net,SHEC_Capitaux propres,SIBC_CA_PNB,SIBC_Total Bilan,SIBC_RE_RBE,SIBC_Résultat Net,SIBC_Capitaux propres,SICC_CA_PNB,SICC_Total Bilan,SICC_RE_RBE,SICC_Résultat Net,SICC_Capitaux propres,SIVC_CA_PNB,SIVC_Total Bilan,SIVC_RE_RBE,SIVC_Résultat Net,SIVC_Capitaux propres,SLBC_CA_PNB,SLBC_Total Bilan,SLBC_RE_RBE,SLBC_Résultat Net,SLBC_Capitaux propres,SMBC_CA_PNB,SMBC_Total Bilan,SMBC_RE_RBE,SMBC_Résultat Net,SMBC_Capitaux propres,SNTS_CA_PNB,SNTS_Total Bilan,SNTS_RE_RBE,SNTS_Résultat Net,SNTS_Capitaux propres,SOGC_CA_PNB,SOGC_Total Bilan,SOGC_RE_RBE,SOGC_Résultat Net,SOGC_Capitaux propres,SPHC_CA_PNB,SPHC_Total Bilan,SPHC_RE_RBE,SPHC_Résultat Net,SPHC_Capitaux propres,STAC_CA_PNB,STAC_Total Bilan,STAC_RE_RBE,STAC_Résultat Net,STAC_Capitaux propres,STBC_CA_PNB,STBC_Total Bilan,STBC_RE_RBE,STBC_Résultat Net,STBC_Capitaux propres,SVOC_CA_PNB,SVOC_Total Bilan,SVOC_RE_RBE,SVOC_Résultat Net,SVOC_Capitaux propres,TTLC_CA_PNB,TTLC_Total Bilan,TTLC_RE_RBE,TTLC_Résultat Net,TTLC_Capitaux propres,TTLS_CA_PNB,TTLS_Total Bilan,TTLS_RE_RBE,TTLS_Résultat Net,TTLS_Capitaux propres,UNLC_CA_PNB,UNLC_Total Bilan,UNLC_RE_RBE,UNLC_Résultat Net,UNLC_Capitaux propres,UNXC_CA_PNB,UNXC_Total Bilan,UNXC_RE_RBE,UNXC_Résultat Net,UNXC_Capitaux propres
An,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
